Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.111,muertes.112,muertes.113,muertes.114,muertes.118,muertes.119,muertes.total
Comuna,Men 1 año,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,111,112,113,114,118,119,Total 
1101,35,3,1,,2,2,3,1,,,,1,,,3,2,,4,5,2,2,3,4,2,6,3,5,3,1,5,4,6,2,2,5,3,6,6,7,7,9,6,6,6,7,11,6,10,8,9,5,8,13,6,7,13,11,17,10,15,14,14,20,14,15,16,15,17,12,28,18,12,20,29,27,30,22,24,26,23,31,27,19,19,28,13,17,8,15,16,13,5,9,7,7,2,5,2,1,1,1,,,1,,,,,,,,,,,,,972
1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1104,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1105,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,1,1,1,,,2,,,,1,1,,1,,,1,1,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,22
1106,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,2,1,,,2,,,,,3,,,1,,,,1,1,1,,,1,1,,,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,25
1201,23,2,2,,1,1,,,2,,1,,1,1,3,,1,3,,,3,4,2,4,4,5,2,1,6,4,4,6,2,3,1,4,5,,5,2,2,5,5,6,8,3,6,8,14,8,4,8,13,13,16,13,10,20,19,17,19,9,15,15,19,18,15,21,18,21,17,26,23,20,22,15,15,20,20,18,16,25,18,15,17,16,17,22,14,16,6,11,10,8,8,7,7,2,1,,1,1,,1,,,,,,,,,,,,,911
1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2101,49,5,2,1,1,1,2,1,1,1,2,3,,1,1,,3,3,3,4,3,2,3,4,5,3,4,5,4,7,8,2,4,5,6,4,4,8,8,6,12,5,8,8,10,12,9,17,16,13,13,20,22,17,19,19,13,22,27,25,28,25,21,32,37,19,33,32,39,36,55,44,41,56,41,53,39,32,27,28,30,37,32,28,34,31,27,34,21,20,23,13,8,13,7,7,2,3,2,2,2,1,1,,1,,,,,,,,,,,,1583
2102,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,,1,,1,,3,,,,,,2,,,1,,,,,,,,,1,,2,,,,2,1,,2,2,,,4,,,1,1,1,,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,35
2103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2104,,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,1,,2,,,,,,1,,,,,,,1,1,1,,,,,,1,,,,1,2,4,1,,1,2,1,3,2,1,,,3,1,1,1,2,4,2,2,4,2,3,2,,2,2,1,2,,3,1,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,74
2201,31,3,2,1,,1,,,1,1,,,1,3,1,1,,3,3,2,1,3,1,2,1,1,1,5,2,1,4,1,3,2,2,3,,2,2,2,2,2,2,3,2,7,6,6,6,3,4,9,5,4,8,3,10,10,9,12,7,10,8,11,5,7,10,6,11,6,10,9,14,9,11,16,21,10,16,11,8,10,11,6,8,10,9,9,2,4,5,6,2,3,1,1,1,,1,,,1,,,,,,,,,,,,,,,512
2203,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,1,1,,,1,1,,,,,1,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,16
2301,1,1,,1,,,,,,,,,,,,,,,2,,,1,,1,,,,1,,,,1,,3,,,,,,3,,2,2,1,2,2,1,2,1,2,2,1,1,1,1,2,,1,1,,5,4,1,3,6,3,4,7,1,4,3,4,2,5,12,4,9,4,4,3,4,1,3,4,2,2,,1,,2,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,152
2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,,,,1,1,,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,13
3101,25,2,,1,,,1,1,,,,1,,,1,,,1,3,1,1,1,4,2,,1,1,1,2,1,1,3,3,1,2,3,1,3,2,4,6,3,2,1,2,5,2,3,5,5,4,4,8,2,10,,7,7,8,11,9,13,12,4,7,16,11,14,16,11,10,18,18,20,13,22,10,18,9,22,12,11,10,10,13,17,9,6,17,11,12,6,6,5,5,7,2,2,3,2,,,,,,,,,,,,,,,,,608
3102,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,1,,1,,3,,1,2,,,,1,,2,2,,,1,1,1,,1,,2,1,1,1,3,1,2,,1,1,1,,,,,,,3,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,42
3103,2,1,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,1,,,,,,,,,2,,1,,,1,1,1,,,1,,,,,1,,,,,1,,3,2,,2,1,,1,1,1,1,2,,,,1,2,,2,,1,1,2,1,2,1,1,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,48
3201,2,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,1,,,,,,,,,,,,1,,1,,,,,,,1,,,1,1,1,2,,,,,,,1,2,1,,4,1,,4,1,1,1,5,,2,4,4,1,1,2,1,,1,,2,1,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,59
3202,2,,,,,,,,1,,,,,,,,,1,,,,,1,,,,1,1,1,,1,,,,1,,,1,,,1,1,,1,,1,,1,,,1,,,,,,,,,,1,1,,,1,1,,,3,1,2,1,,2,6,2,1,1,3,3,2,2,1,2,2,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,59
3301,6,,,2,,,,,,,,,,1,,,1,1,,1,,1,,1,,,1,,,,1,,1,,1,1,1,,2,1,,1,1,,1,1,2,,1,5,,2,2,,3,3,4,2,2,2,4,2,4,2,4,4,4,2,4,5,10,10,7,9,11,3,8,13,4,6,8,8,4,4,3,11,6,5,6,4,8,1,4,4,5,3,5,1,,,1,,,,1,,,,,,,,,,,,263
3302,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,1,1,1,2,,1,1,1,,1,,,1,,1,1,1,2,1,,,,1,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,28
3303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,,,,,1,,,,2,1,1,3,1,,,,,,,,,1,,1,1,1,1,1,1,1,,,,1,,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,28
3304,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,2,1,,,,,,,,,1,,1,1,,,,1,,,1,,,2,1,,,1,1,,1,1,1,2,,,3,,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,28
4101,28,1,1,,,,,1,,,1,,,1,3,3,,,2,,1,1,2,2,3,3,,4,,1,1,4,2,2,4,1,7,3,2,5,1,4,4,2,7,5,3,7,8,7,6,5,4,4,5,7,1,8,6,10,13,13,11,5,7,7,9,13,14,11,18,25,16,18,26,15,15,21,22,14,21,22,18,18,17,23,22,14,11,16,13,18,7,8,12,9,4,7,2,1,1,1,1,,,,,,,,,,,,,,752
4102,22,5,,1,,,,1,1,1,,2,2,2,,2,2,1,2,1,2,2,1,3,2,,1,2,2,4,4,3,3,,2,2,6,4,2,4,2,2,4,4,3,6,2,6,2,4,2,9,5,4,8,3,5,5,9,9,10,7,11,8,9,12,11,13,19,17,9,23,18,20,16,23,11,24,17,21,20,17,15,20,14,15,16,21,19,9,11,7,9,13,3,2,2,2,2,2,2,,1,,,,,,,,,,,,,,709
4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,1,,1,,1,4,,1,,,,,1,1,1,4,1,1,2,1,1,3,3,1,3,4,,5,1,1,1,3,1,2,3,1,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,62
4104,2,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,1,1,,,1,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,17
4105,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,2,,,,1,,1,,1,1,,,1,1,,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,18
4106,3,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,2,,,1,,,1,,1,,2,1,,1,,1,2,,1,2,2,1,,6,3,1,2,1,2,3,2,1,5,3,,2,5,7,1,6,3,7,3,4,7,2,2,3,3,,1,1,2,1,1,1,2,2,,,,,1,,1,,,,,,,,,,,,,,,122
4201,6,1,1,2,,,,,,,,,,,,,,,,1,1,,,,,,,,2,1,,,,1,,1,,1,,,1,,,2,1,,1,,1,2,1,,1,2,,4,2,4,1,1,3,2,4,4,2,6,4,4,5,4,3,4,2,5,5,2,6,10,6,5,7,2,2,2,6,6,9,4,,6,2,1,2,1,1,1,,,1,,,1,,,,,,,,,,,,,,,182
4202,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,,1,,1,1,1,3,,1,4,,4,1,1,1,3,1,1,1,2,4,,,2,1,1,1,1,2,,,,2,1,,,1,,,,,,,,,,,,,,55
4203,3,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,1,1,,1,,,,,,2,2,,,3,2,,,4,1,1,1,1,,,1,1,2,5,2,1,1,3,2,2,1,2,3,,2,2,,2,1,1,2,4,4,2,4,5,2,3,1,2,2,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,99
4204,2,,,,,,,,,,,,,,,,2,,,,,,,1,,,2,,1,,,1,1,,,,,,,,,,1,,,2,1,,,,,1,,1,4,,,,,2,1,2,4,2,1,,2,1,1,5,3,5,3,,5,2,2,8,5,3,6,9,8,3,3,2,1,7,6,,2,2,2,,,,,,2,,,,,,,,,,,,,,,,,,130
4301,14,1,2,1,1,,1,,,,1,,,1,1,1,1,1,1,,,,,2,,1,2,,3,,,1,,1,2,1,3,2,4,2,1,2,2,4,3,,2,2,3,5,5,4,5,3,3,6,2,4,8,4,3,4,9,7,7,5,3,8,9,12,8,8,12,14,11,11,11,12,13,12,13,12,17,11,17,18,15,6,7,12,9,5,8,4,5,6,2,3,,1,,,,1,,,,,,,,,,,,,470
4302,,1,,,,,,,,,,1,,,1,,1,,1,,,,,,,,,,,,,1,1,,,1,,2,,,,,1,1,,,1,2,,,,1,,,1,,,,2,,,3,,2,2,2,1,,4,1,1,3,2,3,2,1,2,3,4,4,3,,3,5,,5,1,2,7,,3,2,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,100
4303,7,,,,,,,,,,,,,,,,1,,,,1,,1,,2,1,,1,,2,,,,,1,1,1,,2,,1,1,1,,,,,2,,1,2,1,,2,2,,1,1,2,2,,3,1,,2,2,3,2,2,2,2,3,,2,5,4,2,4,4,2,4,6,10,1,3,2,3,2,3,8,3,2,2,1,3,2,1,,,,,,,,,,,,,,,,,,,,141
4304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,,1,,,1,2,2,,2,2,,2,,1,1,,,2,,1,1,3,2,1,1,1,,1,1,3,2,3,1,1,1,2,4,2,2,1,,3,2,,,1,,1,,,,,,,,,,,,,,,,,,,62
4305,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,1,1,,1,,1,,,,,2,,1,1,,,,,,,,1,2,,1,1,,,,,,2,,,,,2,2,,1,,,1,2,3,,,2,,,,,,,,,,,,,,,,,,,,,34
5101,25,1,1,1,3,,1,2,,1,3,,2,3,,2,,,1,4,4,3,1,3,4,5,,2,5,4,5,4,2,5,9,5,2,5,8,5,5,6,4,7,13,13,7,14,10,16,15,20,8,14,19,16,18,23,23,27,22,26,30,29,26,22,34,44,46,50,51,64,52,65,58,50,42,62,50,50,64,38,49,51,36,52,53,25,46,33,27,34,30,24,15,18,9,7,4,3,1,,2,,,,,,,,,,,,,,1903
5102,3,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,1,,1,1,,,,,,,1,1,3,,,,2,1,2,,,,,2,2,2,2,1,1,2,1,2,2,3,3,1,1,3,3,1,2,4,3,7,5,1,3,1,5,3,2,5,3,5,1,,4,6,2,1,,1,3,1,3,,,1,,,,,,,,,,,,,,,,,,125
5103,3,,,1,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,2,1,,1,,1,,,3,4,,1,2,1,3,1,2,1,,,1,3,1,,1,1,2,1,1,2,1,1,,3,2,2,6,8,5,2,3,10,4,4,1,1,4,3,1,5,3,3,1,4,4,1,4,3,1,,2,2,1,,,,,,,,,,,,,,,,,,,,,,138
5104,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5105,4,1,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,,1,,,,,,1,2,,,3,,,,,,,1,,2,,,1,,1,2,1,1,2,1,,1,,1,2,2,3,2,1,1,3,,4,3,3,5,3,1,3,2,2,2,,1,,2,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,80
5106,15,1,,,1,,1,,,,,1,,,,2,,1,1,1,2,,1,2,2,5,,1,3,,1,1,1,2,1,2,4,4,4,,4,2,3,3,3,1,2,6,2,3,1,7,6,3,8,2,7,9,14,6,8,13,12,14,11,11,18,20,15,16,17,21,19,23,30,14,20,26,19,28,17,25,27,26,18,17,25,20,21,15,16,15,4,5,11,4,5,6,4,3,2,1,1,,1,1,,,,,,,,,,,797
5107,1,,1,,,,,,,,1,,1,,,1,,,,1,1,3,,,,,,,,,,,,,2,,1,,,1,1,,3,,1,2,1,,,,,,,1,3,5,,1,,,4,2,2,1,2,2,2,2,1,4,3,2,5,5,5,8,4,3,1,5,3,3,3,3,2,1,1,5,2,1,2,,2,2,1,,,1,,,1,,,,,,,,,,,,,,,,128
5108,16,,,,,,,,,,,,,1,,,2,,,,2,2,,2,,2,,,2,1,3,1,,2,,,1,2,,1,1,3,2,2,3,2,2,4,1,8,3,2,4,3,5,2,8,6,6,9,8,3,12,13,15,10,4,12,8,10,16,17,10,23,10,13,14,17,18,12,17,11,14,20,11,15,13,14,16,19,16,11,3,7,3,4,2,2,,2,,,2,,,,,,,,,,,,,,563
5109,27,2,,3,1,,1,2,,1,,1,,,2,1,2,2,3,3,10,2,1,2,1,1,2,1,4,2,3,2,2,1,3,4,4,2,7,4,6,5,5,10,11,10,13,10,7,14,9,15,17,17,18,12,9,24,22,18,20,15,23,23,19,24,33,28,38,40,41,56,39,57,70,54,63,52,56,59,56,39,46,58,51,48,36,47,42,40,35,34,46,22,29,18,20,9,10,4,4,1,1,,,,,1,,,,,,,,,1868
5201,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,1,,2,,,,,,1,,1,,,,1,1,,,,,1,1,,2,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
5301,6,,,,1,,,,1,,,,,,,1,,,1,,1,,,,1,,,1,1,4,,,1,,1,,2,,2,,2,2,1,4,,1,2,,3,2,1,1,4,4,1,4,5,3,3,5,5,1,3,8,1,8,6,5,7,4,6,7,7,6,13,6,14,6,6,9,12,9,10,5,6,12,4,11,5,4,4,1,4,,4,3,,1,1,1,,1,,1,,,,,,,,,,,,,299
5302,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,1,2,,,,1,1,,,,1,1,1,3,,2,1,1,1,,1,1,,3,2,1,1,1,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,38
5303,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,,,1,,1,,3,2,,1,1,,,1,1,1,,1,2,4,2,,2,,,2,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,40
5304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,2,1,2,1,,,2,1,,,,,1,,3,2,,1,2,1,3,2,2,1,1,2,1,2,1,1,2,2,3,2,1,2,1,2,1,1,3,1,2,1,1,1,1,,,,1,,1,,,,,,,,,,,,,,,68
5401,3,,1,,1,,,,,,,,,,,,,3,,,1,,,1,1,,1,,1,2,,,,,,,,2,1,,1,1,,,,,,5,,3,,1,2,2,1,3,,2,,5,7,3,3,,2,1,2,4,3,3,8,2,,4,4,6,1,1,4,5,1,2,6,9,1,5,4,4,5,2,2,4,2,1,,2,2,,2,,,,,,,,,,,,,,,,,,161
5402,1,,1,,,,,,,,,,,,1,,,,,,,1,,,1,,,1,1,,,,,,,,1,2,1,1,2,2,,,,,2,,2,,1,,1,1,2,1,1,2,3,1,,,3,2,3,1,,3,1,2,1,4,1,5,1,4,1,,4,1,1,1,1,2,,7,6,3,1,2,2,1,1,2,1,,1,,,,1,1,,,,,,,,,,,,,,,104
5403,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,1,1,3,,,,,2,1,,1,1,1,2,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,23
5404,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,1,1,1,,,2,,1,,,2,,,,,2,,1,3,,1,,,,1,,1,2,,2,2,,1,2,,2,3,1,2,2,2,,,3,1,,1,1,,,,,1,,,,,,,,,,,,,,50
5405,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,2,1,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,1,,1,,,,1,,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
5501,11,,,,,1,,,,1,,,1,,,,,,,1,1,,2,1,1,,3,3,,,1,2,2,3,1,1,2,2,1,2,5,3,,2,3,3,3,1,1,4,6,7,3,7,4,8,6,6,4,10,5,13,11,3,11,6,5,15,9,11,7,6,17,10,10,26,16,10,15,16,11,19,12,14,4,15,16,14,7,8,3,13,4,4,6,3,4,2,,,,,,1,,,,,,,,,,,,,511
5502,5,1,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,1,1,,2,,1,,6,1,,,1,,1,2,1,3,1,1,3,2,4,,1,1,5,2,2,6,4,4,6,6,5,4,6,4,3,5,4,9,7,11,8,6,14,7,11,10,6,16,7,11,7,6,11,6,10,10,10,2,3,4,5,2,3,3,3,2,,,1,,,,,,,,,,,,,,,,,,320
5503,1,1,,,,,,,,1,,,,,,,1,1,,,1,1,1,1,,,2,,,,,,1,,,,1,,,,,,1,1,,,1,,,,1,,3,,,,1,1,1,,1,2,,,2,3,,1,3,2,3,4,3,2,3,5,1,3,1,2,9,1,1,2,3,1,1,1,1,1,1,,1,2,,,1,,,,1,,,,,,,,,,,,,,,,91
5504,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,1,,,1,,,,,1,,2,,,,,,1,,,,,,1,2,,3,2,,1,,,,1,,2,1,2,2,2,2,3,1,,5,,3,1,2,3,,,5,,4,1,2,3,1,1,1,2,,2,1,,,,2,,,,,,,,,,,,,,,,,,,73
5505,1,1,,,,,1,,1,,1,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,2,,,,,,1,1,1,,1,,,,1,3,4,2,4,2,2,2,3,,4,3,3,3,2,3,2,10,1,2,5,9,9,4,7,5,7,1,11,10,7,8,7,9,7,8,8,10,6,4,6,6,2,5,1,1,3,,,1,1,1,,,,,,,,,,,,,,,240
5506,2,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,1,,1,,,1,,,,1,1,,,1,1,1,,,,,,,,2,,4,2,3,1,,4,2,3,3,4,2,2,3,2,3,4,1,1,5,1,1,1,2,4,2,2,1,2,,1,5,3,1,,,,,1,,,,,,,,,,,,,,,,,,,,,92
5507,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,1,,1,,2,,,,1,,1,1,1,,,2,2,,1,,2,1,3,2,7,3,2,1,4,1,2,5,4,4,2,4,,3,1,6,4,1,1,2,,2,1,2,,,,,,1,,,,,,,,,,,,,,,88
5601,8,,,1,,,,,,,1,1,1,,1,,1,2,1,,2,2,3,1,,1,,1,1,1,,1,2,2,3,4,1,1,3,2,,1,,2,3,3,3,3,5,8,5,4,2,6,10,5,6,3,10,5,3,7,8,11,13,10,10,16,15,13,18,20,20,18,9,20,10,13,13,15,15,20,17,12,13,14,16,11,11,12,10,9,5,6,4,5,2,,2,1,,,,,,,,,,,,,,,,,579
5602,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,1,,,,1,,,,,,,2,1,,,1,,,3,,1,,1,,2,,1,1,,1,1,,1,2,,2,3,1,2,2,1,4,3,,1,3,2,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,53
5603,7,,,,1,,,,,,,,,,,,1,,,1,,,1,1,,,,1,,,,,,,1,,,2,,,,,,1,2,,,2,,,,1,1,,1,,1,,,,,,4,1,,2,1,3,1,1,,2,2,2,3,2,1,1,4,1,,4,4,2,,2,1,2,1,7,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,84
5604,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,1,,1,,,1,,,,,1,,,,1,2,1,,,2,,1,,1,1,,1,4,,,3,,3,,1,2,,2,1,,1,1,1,,2,1,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,46
5605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,,2,,,,,3,2,1,1,2,1,2,2,1,3,1,1,,,,1,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,34
5606,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,1,,2,,,,1,,2,,,,1,,,,2,1,,1,1,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,21
5701,16,1,,,,1,1,,,1,,,,,,,1,,,1,2,1,1,1,1,,,2,1,,2,1,2,1,1,,,2,2,,2,2,1,1,2,2,2,1,2,4,6,3,3,4,6,1,7,8,4,1,3,8,6,6,4,5,10,4,7,8,8,14,9,9,14,6,5,13,11,13,8,11,14,10,8,3,13,8,14,4,5,7,6,7,5,1,,1,,1,1,1,,,,,,,,,,,,,,,395
5702,2,,1,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,,1,,,,,,,,,1,,2,1,,,3,1,,,2,1,,2,,2,1,,1,2,1,,1,4,1,1,3,1,2,,3,1,2,2,1,2,1,,1,,,,,,,,,,,,,,,,,,,,57
5703,3,,,,,,,,,,1,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,1,,1,1,1,,,,,1,1,,,1,3,1,1,,,1,,3,2,,1,2,,2,2,2,1,4,1,5,3,3,3,1,3,2,2,2,3,4,4,1,2,2,2,2,2,3,1,1,2,1,4,1,2,3,,,,,,,,,,,,,,,,,,,,105
5704,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,2,1,2,,,1,,,,1,1,2,,1,1,,3,,1,,1,1,2,1,,2,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,34
5705,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,1,,1,1,,1,,,1,1,,3,1,2,2,,1,3,1,2,4,1,3,1,2,2,4,5,2,3,,1,3,3,3,2,4,1,2,3,4,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,82
