Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.Total 
2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2203,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,,1,,,,,,,,,,2,,,,,,,2,,,1,,1,,2,,,1,,1,1,,,,,,,1,,1,2,,,1,,1,1,,,,1,,2,,,,1,,,,,,1,,,,,,,,,,,,,,29
2301,3,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,1,,,,,3,,1,,,,,,,2,1,,1,2,3,,3,3,3,2,2,2,4,1,2,3,4,4,4,10,7,2,,2,4,4,7,3,9,6,4,4,5,2,8,4,15,7,6,1,6,5,1,7,1,3,2,2,,1,,2,,,,,,,,,,,,,,199
2302,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,1,,,1,2,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
3101,15,3,,,1,1,,,1,1,,,1,1,1,,3,1,2,,3,3,,6,5,1,,1,2,3,4,2,3,,5,2,3,3,3,2,2,2,1,2,3,1,1,5,3,7,6,6,7,12,8,13,11,7,7,9,11,10,11,9,10,13,15,13,13,18,12,13,17,22,11,14,16,11,17,12,17,24,20,29,27,24,22,23,26,9,15,10,12,6,14,6,4,4,1,,3,,,,,,,,,,,,759
3102,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,2,1,1,,,,,,,,,3,,2,,1,1,,3,1,1,2,,,2,,2,1,3,4,1,1,1,1,,3,4,3,1,,4,2,2,1,2,4,4,2,5,1,,1,,,,1,2,2,,,1,1,1,,,,,,,,,,,,,,,,86
3103,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,2,,,,,1,,,1,1,1,,,1,,,,,,1,,,1,2,1,1,1,,2,,,1,3,1,,,,1,,,1,,3,1,2,2,1,1,,,,1,1,1,1,3,2,2,1,1,4,2,1,,2,1,,,3,,1,,,,,,,,,,,,,,,,63
3201,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,1,,,,,,1,1,,,1,,1,1,,3,1,1,,,1,,1,2,,1,,1,3,2,2,1,,2,1,1,,3,4,,5,1,4,3,3,2,5,3,1,1,3,3,1,4,3,1,,1,3,3,1,,,,,,,,,,,,,,,,,91
3202,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,1,,1,,,1,,,2,,1,,1,1,,,1,,1,,,1,,1,1,2,,1,,,,,1,2,1,2,1,2,2,4,1,,4,2,1,2,1,1,1,,1,3,1,,,1,,,,1,,,,,,,,,,,,,55
3301,9,1,,,,1,,,,,,,,,,1,,1,,,,,,,,1,1,1,1,1,,3,2,2,1,1,2,2,2,2,2,2,1,1,,1,1,1,1,,2,5,2,3,2,3,3,6,8,4,3,9,3,7,1,5,4,4,3,5,9,1,12,5,4,13,8,8,7,13,13,16,14,14,12,12,10,6,7,11,10,10,2,5,2,3,7,1,3,1,,,,,,,,,,,,,366
