Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.113,muertes.Total 
9107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,1,,,,,1,1,1,,,2,1,1,,1,,,1,2,1,2,2,2,2,,1,,1,4,,3,4,2,1,5,3,1,3,4,1,2,,2,4,5,4,8,2,5,1,6,4,3,5,2,3,1,,1,,1,1,,,,,,,,,,,,,,,118
9108,4,1,,,,1,,,,,,,,,,,,,,,2,,,4,2,,,,2,,1,,,,,1,1,2,,,2,1,2,1,,1,3,,4,1,1,3,3,,1,1,2,,,3,5,3,3,4,2,7,5,2,5,7,4,4,7,5,4,5,7,4,5,6,4,9,4,7,8,6,2,6,3,7,3,5,4,2,4,,1,,2,1,,,2,,,,,,,,,,,,224
9109,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,1,,,1,,,3,,,1,,1,,,1,2,4,1,,,,3,3,1,4,,1,2,1,5,5,1,,2,4,,1,4,6,2,2,3,9,2,5,6,6,3,3,5,3,7,3,5,2,8,5,3,3,4,6,3,4,2,,2,2,,,,,2,1,,,,,,,,,,,,173
9110,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,2,,,1,,,,,1,,1,,1,,,,,1,,2,,,1,,,2,3,1,1,2,1,4,1,1,2,,,1,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,38
9111,1,,1,,,,,,,,,,,,,,1,1,,1,1,,,2,,,1,,,1,,1,,,,,1,,1,1,,,2,4,1,2,,1,4,3,2,1,,1,1,4,2,5,4,1,3,2,2,3,4,4,5,9,4,6,6,6,3,7,3,5,4,9,7,6,5,7,7,6,10,2,7,10,12,6,5,4,7,5,2,2,3,3,1,1,1,1,,,,,,,,,,,,,257
9112,8,,,,,,,,,,,1,,,,,,2,2,1,2,,,2,,1,2,,,1,1,1,,,,1,,2,1,1,3,3,1,3,2,1,2,6,4,4,4,4,7,2,6,4,1,3,4,7,5,6,12,9,5,7,4,8,9,10,4,10,12,11,7,13,8,9,5,15,9,14,14,8,9,11,14,16,11,12,7,13,9,4,2,,5,2,1,1,,1,,,,,,,,,,,,,432
9113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,3,1,,,1,,,1,1,,,1,1,,,,1,1,2,2,1,,1,,1,2,2,4,2,1,2,1,,,2,2,1,,3,,1,,,,,,2,,,,,,,,,,,,,,,,,46
9114,4,1,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,1,2,1,1,2,3,,2,1,,1,1,2,2,1,1,3,3,,2,1,,4,6,1,2,5,4,5,1,3,3,1,5,3,2,5,4,6,4,4,3,3,8,7,5,5,4,8,7,4,6,6,2,4,1,,,,,2,1,,2,,,,,,,,,,,,,185
9115,4,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,1,1,,,1,,1,,,,,,,1,1,1,2,3,,,,,1,1,,1,2,2,1,3,,6,2,5,1,1,1,2,4,1,3,3,2,,2,3,3,4,3,4,4,2,3,3,2,2,2,1,9,5,1,5,5,2,1,3,4,,,1,,1,,2,,,,,,,,,,,,,139
9116,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,1,1,,,1,,1,,,,1,1,,1,,1,,2,1,1,1,1,2,,1,2,3,1,2,3,1,1,1,1,3,1,2,2,,2,1,4,3,4,5,5,4,7,2,3,3,3,5,7,2,3,5,1,,1,4,3,1,1,1,1,,,1,,1,,,,,,,,,,,,,126
9117,3,,,,,1,1,,,,,,,,,,,,,,1,,2,,1,,,,,,,,1,,1,1,,,1,1,,1,,1,,1,,1,,1,,1,1,,1,2,4,,1,1,,,,,1,2,1,,1,3,,1,2,2,1,2,,2,2,2,4,2,1,2,4,5,3,3,,3,2,2,4,3,1,2,3,1,1,,,,,,,,,,,,,,,,98
9118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,2,3,1,,,2,,2,,,,1,1,,1,,1,,1,1,,,1,2,2,1,3,,,2,3,1,1,,1,3,2,,2,2,,2,1,1,4,3,2,,1,1,,2,,3,1,,,,,,,,,,,,,,,,,65
9119,2,1,,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,,,,1,2,1,,1,,1,,,2,1,,2,1,,2,1,2,3,,2,3,2,2,,2,3,1,3,2,,4,2,3,3,,2,2,3,4,1,4,1,2,3,3,9,5,5,8,3,4,4,7,5,3,5,3,1,,1,4,,2,1,1,1,1,,4,,,,1,,,,,,,,,,,163
9120,1,,,1,1,,,,1,,,,,,1,,,1,,1,,,,1,,2,2,,1,1,2,1,1,,,1,1,,,1,2,2,2,1,,3,8,4,2,2,4,2,1,2,1,3,3,3,2,3,,3,4,4,2,3,4,6,5,4,9,7,3,4,7,9,8,4,10,7,10,15,7,8,18,12,6,8,15,9,3,4,5,2,1,7,1,1,4,3,1,,1,1,,,1,,,,,,,,317
9121,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,1,,,,2,1,1,,,,1,2,2,,1,,,2,2,2,,1,1,2,1,1,3,2,3,1,1,,,5,2,3,4,3,,2,1,1,1,2,3,2,3,2,4,2,3,2,1,3,,,1,,1,,,,,,,,,,,,,,,,,,,88
9201,2,1,,,,,,,,,1,,,,,,,,,1,,1,,1,3,2,,,,,,1,1,,,3,1,1,1,,,2,1,,1,2,1,,,,5,4,2,1,4,2,6,1,3,2,7,5,6,8,6,4,7,3,4,7,13,7,6,5,8,10,12,15,22,15,16,3,16,14,15,13,14,17,7,9,7,8,7,6,2,3,3,2,5,8,2,,1,1,2,,,,,,,,,,408
9202,4,,,,,,,,,,,,1,,,1,,,,2,,,,1,,,1,,,,1,,1,,,2,1,2,2,,3,1,,1,1,,1,4,3,1,,1,1,4,2,2,5,,3,3,,3,3,2,,4,5,,1,2,1,2,7,5,3,1,6,4,5,3,5,8,1,9,5,3,2,5,3,3,,5,1,,,2,1,,,1,,,,,,,,,,,,,,,166
9203,1,,,,,,,,,,,,,,,1,1,,,1,,2,,,,,,,,,,1,,,1,,,,,1,1,,1,,1,1,1,,,,,2,1,1,2,1,,2,1,1,3,,1,,3,2,2,4,2,2,4,6,,3,5,,4,5,1,4,1,5,6,4,4,6,2,4,5,2,4,3,3,1,1,3,2,2,1,,,,,,,1,,,,,,,,,136
9204,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,,1,,,,1,,1,,1,,,1,,1,1,,1,1,,1,3,1,1,,1,,2,1,3,,,3,4,,1,4,,,2,1,1,,1,1,2,,1,3,1,2,,2,1,3,2,2,,,2,,,,,,,,,,,,,,,,,,66
9205,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,,,,,1,1,,,1,,1,,1,,,,,,,1,1,,,,,,1,1,,,3,1,,1,,,1,1,1,1,1,,1,,,3,1,1,,1,4,1,2,1,1,1,2,,,,2,,1,1,3,,,1,,,1,,,,,,,,,,,,,,,,,52
9206,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,1,,1,,1,,1,2,,1,2,,1,1,2,1,1,1,1,2,,2,1,,2,1,2,1,,4,2,1,,3,3,1,2,3,,1,1,1,,1,1,,1,,,,,,,,,,,,,,,,,58
9207,3,,,,,,,,,,,,1,,1,,,,,,,1,,,1,,,,,,,,,,,,2,1,,,,,1,,,1,3,1,1,,1,1,1,,,,,,2,2,,1,1,1,1,1,,2,5,,1,2,3,2,,2,1,4,3,5,3,2,2,1,3,2,2,1,2,,,1,3,,1,,1,,,,,,1,,,,,,,,,,,,84
9208,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,1,,1,1,1,,,,1,,,2,2,1,1,1,,3,2,1,,1,,,,2,,,2,1,2,6,,4,,2,3,5,1,4,4,4,4,2,5,1,5,4,,3,1,1,1,,1,1,1,,,,,,,,,,,,,,,96
9209,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,3,,,,,2,2,,,,,1,1,2,,2,,1,2,,,,1,1,1,,1,3,1,2,4,4,5,2,1,,1,4,,2,,2,2,4,1,3,1,1,,,,1,1,,1,,,,,,,,,,,,,,70
9210,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,2,1,1,,,1,,3,1,,1,,1,,2,1,,,1,,1,,1,4,1,2,2,2,4,3,1,,2,2,1,6,3,3,5,4,6,4,3,7,10,6,4,7,8,9,8,8,5,8,7,4,7,5,3,4,2,1,1,1,3,1,,,,,,,,,,,,,,,200
9211,1,,,,,,,,,,,1,,,,1,,,1,,2,1,3,1,2,1,,,,,,,1,,,,1,,,,3,1,,1,,4,,1,2,,3,2,3,1,4,2,3,1,3,4,5,4,8,4,3,7,3,4,7,6,5,4,8,7,3,7,7,3,4,9,7,10,10,5,7,4,5,6,3,9,4,3,4,1,1,1,1,1,,,,,,,,,,,,,,,,,244
10101,30,1,,3,4,1,2,,,4,,,2,1,1,2,1,3,4,2,3,1,7,5,1,5,7,4,2,3,4,4,3,1,3,5,2,3,3,7,9,6,6,12,3,10,9,5,9,10,14,15,14,24,16,12,21,20,22,18,18,20,15,14,23,23,19,20,31,22,26,33,33,27,21,24,37,28,30,22,28,29,28,28,28,25,26,26,26,19,23,23,16,11,7,7,9,3,2,1,1,2,2,,,,,,,,,,,,1245
10102,2,,,1,,,,,,,,,,,,,,1,,,1,2,2,,2,,,1,1,,,,1,,,1,,1,1,3,1,,1,,2,1,3,1,2,1,2,1,,4,,2,,2,,,4,1,1,2,2,2,4,2,,1,5,1,2,2,6,2,5,3,2,3,7,3,3,7,8,3,5,6,9,1,5,4,6,7,3,4,2,2,2,1,,1,,1,,,,,,,,,,,183
10103,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,1,,,2,,,,1,2,,1,,,,,,,,1,1,1,1,2,,1,,1,2,2,2,,,1,2,,,,,,,1,,,,,,,,,,,,,,33
10104,2,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,1,,2,2,2,1,2,,,2,1,4,3,3,3,,,2,,2,1,4,2,2,1,4,2,2,,4,4,6,2,2,4,1,3,2,2,1,2,1,,,3,1,1,,,,,,,,,,,,,,,95
10105,4,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,1,,,,,,,,,1,,,,,,,1,2,1,,3,,1,,2,,2,3,2,2,2,3,2,3,,,3,,1,6,2,1,1,1,4,3,,1,4,4,1,1,2,1,2,3,4,,3,1,4,,1,5,1,,2,,,1,1,,1,2,,,,,,,,,,,,,106
10106,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,1,,1,,,2,,2,1,,2,1,,,2,,2,,2,,1,2,2,4,3,1,3,4,,1,3,5,3,3,3,2,7,3,2,4,3,6,2,1,8,1,7,5,2,4,4,1,2,1,1,2,1,1,,,1,,1,,,,,,,,,,,,,,130
10107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,2,,1,3,,1,,1,2,1,2,1,1,1,2,2,2,4,1,,2,1,1,1,2,5,2,3,5,3,4,3,2,3,1,2,4,3,4,2,4,1,,2,4,3,1,2,1,,,,,,,,,,,,,,,,,,,103
10108,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,1,,,,,1,,1,,1,2,2,1,,,1,1,1,1,,3,1,1,1,,1,3,2,3,1,3,,3,5,3,3,1,5,2,7,4,4,7,3,6,2,4,4,5,5,1,2,,2,2,2,2,1,,,1,,3,1,,,,,,,,1,,,,,,,127
10109,4,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,3,3,2,4,1,1,2,1,4,1,2,3,2,1,5,1,1,3,1,1,2,6,2,3,3,4,8,6,1,1,4,7,2,11,6,4,8,4,7,7,3,6,3,5,4,3,8,6,3,6,3,2,1,1,4,2,1,,1,1,,,2,,,,,,,,,,,,212
10201,7,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,,2,1,1,1,1,,,1,1,2,4,1,1,2,2,3,,2,2,3,,3,3,4,4,8,3,1,1,3,1,1,1,4,4,2,7,4,5,6,6,5,7,5,5,7,8,13,6,7,5,7,8,4,5,8,6,8,9,9,9,6,4,10,6,4,2,3,1,2,5,,1,1,1,,,,,,,,,,,,299
10202,3,3,,,,,,,,,,,,,,,,2,,1,,,,1,,,3,,,,,2,1,2,,1,1,1,3,,2,1,3,,3,3,4,2,3,,1,4,1,2,3,3,3,2,1,6,9,5,3,1,4,6,4,4,4,8,10,3,3,4,4,9,8,9,7,6,10,5,8,10,9,6,9,5,10,2,6,6,4,5,4,4,3,3,1,,,,,,,,,,,,,,,,292
10203,1,,,1,,,1,,,,,,,,,,,,,,,,1,,,,1,,,2,,,1,,,,,1,,,2,1,1,1,,2,1,1,1,,1,1,1,,2,,2,1,1,,1,1,,1,3,2,1,2,,,1,4,1,4,1,2,3,3,2,2,1,2,1,1,4,2,1,1,1,5,2,,2,3,2,2,,,1,1,,,,,,,,,,,,,,,94
10204,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,1,,1,,2,,1,,,1,1,3,,1,1,1,1,2,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,25
10205,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,,1,1,,1,,1,,1,,3,,,,,,,,2,,1,2,,1,2,1,,,,,1,1,,2,1,2,1,1,2,,1,1,2,1,6,3,3,,5,1,4,2,2,,,1,1,3,,1,,,1,,,,,,,,,,,,,,,,71
10206,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,1,,2,2,1,,1,1,1,,1,1,,1,3,2,1,1,1,1,1,1,1,1,,,1,,2,,,,,,,,,,,,,,,,,,33
10207,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,1,,1,1,,,,,2,1,1,,,1,,2,2,,,,1,,,,3,3,,,,,,1,2,3,,,,,,2,1,2,,,,,,,,,,,,,,,34
10208,2,,,,,,,1,,1,,,,,,,,,,,1,,1,,,1,,2,2,,3,1,,1,,2,1,1,,1,,1,,,2,,3,2,3,3,2,,,1,2,,2,2,,2,2,2,,2,1,1,1,1,1,4,,3,5,4,3,4,2,3,4,,,2,3,3,2,1,2,,,1,5,2,2,4,2,1,1,,,1,2,,,,,,,,,,,,,1,124
10209,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,2,,,,,1,,,,,1,1,,,,2,1,,,1,,2,,2,2,1,,,,1,1,2,2,2,2,1,5,2,2,3,,2,1,5,,3,1,3,3,1,1,2,1,1,,2,,1,,,,,,,,,,,,,,,,70
10210,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,,,,1,,1,,,,,1,,,,,1,1,,,,1,2,2,,,1,,1,2,1,2,1,3,2,,,,1,3,1,1,1,2,5,2,1,,,3,5,1,2,1,1,2,3,2,2,2,,2,1,,,,,,,,,,,,,,,,,,71
10301,24,2,,,,1,,,,,,,,,1,1,3,,2,2,2,1,4,5,1,2,4,4,3,2,4,3,2,5,1,8,5,6,9,3,7,4,11,3,5,7,10,9,12,9,6,7,20,14,9,14,8,11,21,15,15,16,15,14,31,18,23,16,23,21,26,22,27,45,25,16,26,38,29,19,39,24,37,29,31,23,27,18,25,24,20,18,19,12,7,7,8,4,3,2,5,2,,1,,,1,,,,,,,,1163
10302,,,1,,,,1,,,,,,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,1,,,,,,,,1,,,2,1,1,1,1,1,,,,1,,,1,,,1,,1,1,1,,,2,,1,3,3,,,3,,,2,2,2,1,1,,,2,1,1,2,1,,,,,,1,,,,,1,,,,,,,,,,,,50
10303,3,1,,,,,,,,,,,,,1,1,,,,,,,,,,2,,,,,,1,2,1,,1,,1,1,1,2,,,,1,2,,1,,2,2,1,1,2,,,,2,1,,1,1,2,4,1,2,4,1,2,4,4,1,7,2,4,1,5,9,2,1,3,2,6,4,11,2,5,6,1,4,3,1,2,,2,3,,1,,,,,,,,,,,,,,,,,147
10304,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,,1,,,,,1,,1,,,1,2,,,1,,3,1,3,1,,,1,1,,,1,3,1,3,4,6,3,1,2,4,2,6,2,2,3,4,,2,2,2,1,3,3,1,1,1,,3,2,,,,,,,,,,,,,,,,,,,89
10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2,1,,,,,1,,1,,,,,1,,1,1,1,,2,3,2,2,5,2,2,1,,1,5,2,4,4,4,3,1,,,2,3,1,2,2,3,2,5,3,2,2,3,2,2,4,4,,1,1,,,,,,,,,1,,,,,1,,,,,,,100
10306,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,1,2,1,,,,,3,1,,1,1,,,1,1,2,,,1,3,4,3,,2,1,,2,3,1,2,2,1,2,2,3,2,1,2,,,4,,2,,,1,,,,2,1,1,,,,,,,,,,,,,,,,69
10307,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,2,,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,1,,,,1,1,,1,1,3,1,1,3,2,3,2,2,1,1,3,2,2,3,2,4,3,4,3,1,,2,1,1,,,1,,,1,1,,,,,,,,,,,,75
10401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,1,,1,,,,,,,1,,,,,1,,1,,,,2,,,2,,,2,1,1,,,,1,,2,1,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,24
10402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6
10403,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,2,1,,,,1,1,2,,,,,2,2,1,,,2,1,,,,,1,1,1,2,2,,1,1,1,1,2,,1,2,,2,1,1,1,,1,,1,1,,4,2,,,,,1,1,,,,,1,,,,,,,,,,52
10404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,1,1,,1,,,,,1,,,,,2,,,,,1,,,1,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,14
11101,4,,,,,,,,,,,,,,,2,1,1,2,1,3,2,1,1,1,,2,3,,,,,1,1,,1,2,1,2,,2,1,3,1,5,4,2,1,3,1,2,3,,6,6,2,6,4,1,1,3,4,3,4,3,7,1,3,3,1,6,4,11,11,9,7,6,2,6,6,6,5,5,4,8,4,7,12,6,7,3,3,4,2,2,2,1,1,1,,,2,,,,,,,,,,,,,271
11102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3
11201,3,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,1,,1,1,,1,1,,,,,,,,,,1,3,1,2,,1,2,3,3,,4,3,3,,1,2,3,3,2,1,1,2,2,2,3,,1,2,5,2,,7,4,2,3,4,3,4,4,3,3,,1,2,1,1,3,1,1,,,1,,,,,,,,,,,,,,,,,118
11202,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,,,,,,,,1,,,,1,,,,1,,1,,,,1,,,1,,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,15
11203,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,7
11301,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,1,,1,,,,,2,,,,1,1,,1,1,,1,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,19
11302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
11303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
11401,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,,,1,2,,,,1,1,1,2,,,1,1,2,1,,2,1,1,2,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,29
11402,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,1,,,,,,1,,,1,2,,2,,,1,,,1,2,1,1,,,2,1,1,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,27
12101,12,3,1,,,,,,,,1,,1,,2,,,1,1,,1,2,1,2,1,,,,,2,,1,,7,,4,2,3,2,4,9,1,3,3,3,5,6,5,8,6,8,4,6,11,11,9,8,11,8,10,10,10,15,10,14,16,13,12,20,11,26,19,11,20,11,20,21,14,19,21,26,19,27,29,21,19,20,15,19,11,20,19,11,8,12,9,4,4,2,3,3,2,,1,1,,,,,,,,,,807
12104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3
12301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,1,3,1,,,2,,1,,,2,,,1,1,,2,,,1,1,,,1,2,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,27
12401,1,,,,,,,,,,,,,,1,,1,,1,,,1,,,1,,,,,,1,,,1,,,,,1,1,,1,1,1,1,2,,,,2,,3,,4,3,1,1,,2,3,1,,1,1,1,,2,1,2,3,1,5,3,5,1,2,4,5,2,3,8,7,1,6,2,3,1,3,3,1,1,1,1,,3,1,1,,,1,,,,,,,,,,,,,,,122
13101,29,2,3,1,3,1,,,1,,1,,1,1,1,,1,,,,3,,4,5,1,4,1,4,5,6,2,4,7,3,6,3,7,2,5,7,6,7,6,4,3,7,12,4,10,7,6,8,10,12,11,13,17,19,19,18,16,19,19,13,22,24,18,24,32,18,29,42,20,30,29,40,30,22,34,42,42,39,52,39,31,51,50,46,41,51,31,30,25,29,24,24,15,14,13,6,4,7,3,1,2,,,1,,,,,,,1517
13102,6,,1,1,,,1,,,,,,,1,,,,1,,1,1,1,,3,1,2,1,,1,,1,1,1,3,1,3,3,6,2,4,1,2,1,4,3,3,,1,2,2,1,5,4,10,4,4,8,2,9,5,2,6,2,6,9,5,13,8,13,8,9,10,8,11,9,17,11,9,9,7,11,9,10,10,10,14,13,6,15,6,9,9,14,6,2,6,3,2,2,3,1,,,2,,,,,,,,,,,453
13103,11,1,1,,1,1,,1,1,,,,1,,1,1,1,1,3,2,1,1,1,,2,5,,1,,3,2,5,4,1,6,3,2,2,5,4,3,4,6,6,6,4,6,3,10,6,7,14,6,11,7,6,4,11,9,16,10,14,14,14,14,15,17,28,30,21,26,20,23,27,27,21,22,18,23,17,34,26,23,28,21,21,17,13,28,12,6,10,13,8,5,8,2,4,3,2,4,1,2,1,,,,,,,,,,,913
13104,5,2,1,,,1,,,,,,,1,,2,,2,3,1,1,,2,3,3,4,1,4,1,3,1,1,1,1,1,2,,2,1,2,2,1,3,5,6,7,2,6,6,7,6,7,13,11,10,10,11,6,7,12,8,10,11,10,8,13,21,17,17,14,17,16,15,22,11,29,21,18,24,40,30,23,22,32,29,30,37,32,16,18,23,17,15,11,10,4,2,5,5,4,3,1,1,,,,,,,,,,,,,902
13105,13,1,,,2,,,,,,1,,,1,,1,,2,5,4,2,2,2,2,1,3,,,4,5,3,2,8,2,2,4,2,4,1,2,2,4,6,2,6,6,7,7,12,5,7,8,13,11,9,12,7,14,9,15,19,12,9,14,8,11,17,21,21,30,26,38,28,26,23,30,18,25,22,37,31,32,23,42,31,26,25,21,19,21,15,14,18,13,4,4,5,4,3,1,1,,2,,,,,,,,,,,,1033
13106,12,,1,,2,,1,,,,1,,1,,,,1,1,2,,1,1,2,1,3,1,2,,3,3,1,4,1,3,1,2,2,3,2,3,5,4,4,7,4,4,7,5,7,12,3,6,10,10,10,14,8,9,9,7,8,11,11,19,18,12,7,17,8,20,14,20,23,28,18,15,20,19,19,24,21,39,32,20,29,27,30,21,19,21,21,22,18,12,9,12,8,5,4,3,3,1,1,1,,,,,,,,,,,916
13107,12,,,,,2,,,,1,,,,2,1,1,1,2,,2,1,1,4,,,4,1,2,,,1,,,2,1,4,1,,4,2,3,3,1,2,3,6,3,4,4,2,6,4,7,5,4,6,2,6,2,4,5,5,7,3,7,8,10,15,13,7,9,14,8,11,8,10,15,16,7,11,7,12,8,7,5,8,8,4,4,7,9,4,2,7,3,1,1,2,3,1,1,,1,,,,,,,,,,,,423
