Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.113,muertes.Total 
3202,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,1,1,1,,,,1,1,,,,,,2,2,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,3,,3,1,,1,2,1,1,,,1,,1,1,2,,,,,,,,,,,,,,,,,,,,,48
3301,10,,,,,,,,,1,,,,,1,,,,,2,1,3,,1,,1,,3,,,,2,1,,,,,,,,1,,1,1,1,2,1,2,3,2,3,,3,2,7,7,3,3,4,4,5,3,2,2,2,8,7,6,5,8,4,6,10,6,6,6,6,4,10,4,6,8,9,12,8,10,11,6,6,5,7,3,5,4,1,3,4,,1,,1,,,,,,,,,,,,,,296
3302,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,,,,1,,,,,,,,,1,1,1,1,1,1,,2,2,1,3,1,1,2,1,1,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,33
3303,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,1,,1,,,,1,1,,2,1,,,,,,2,,1,,1,2,1,1,2,1,1,2,1,1,1,2,3,,1,,3,,,,,2,3,,2,,,,,,,1,,,,,,,,,,,47
3304,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,1,,,,,1,,,1,,,1,1,1,,,,1,,1,2,1,,1,,1,,,,3,1,,,2,1,1,,2,1,2,1,,3,,2,2,,2,,1,3,2,2,2,2,,1,,,1,,,,,1,,,,,,,,,,,,,,55
4101,36,1,,1,,,1,,,,,1,,3,1,2,2,1,1,2,2,5,5,5,3,1,7,4,2,3,2,2,2,2,5,1,3,3,1,1,1,4,8,5,9,3,8,11,6,11,9,5,14,8,11,12,18,14,4,12,14,10,14,12,14,19,20,19,19,19,17,20,30,28,16,19,38,23,32,33,35,34,30,36,41,31,22,25,23,25,28,20,17,14,14,10,4,10,7,2,3,2,,2,,,1,,,,,,,,1136
4102,23,4,,1,1,1,,,2,,,1,2,,2,1,1,1,,1,1,1,1,3,2,3,,3,3,1,4,3,2,4,,,2,,5,3,7,5,3,8,4,5,5,8,3,9,6,10,8,14,15,12,9,12,13,13,11,12,9,16,22,15,15,28,32,19,8,37,23,37,23,29,28,31,23,18,29,37,44,30,38,35,26,26,23,23,27,21,11,15,11,10,2,10,4,6,2,1,1,,,1,,,,,,,,,1120
4103,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,,2,,,,2,,,1,,1,1,1,1,1,1,1,4,2,2,1,,1,3,,2,,2,,3,3,4,2,3,4,2,4,,1,2,5,3,1,1,2,1,,1,1,,1,,,,,,1,,,,,,,,,,,79
4104,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,1,,,,,2,,,,,,1,,,,1,,,,1,1,,1,2,1,,,,,1,2,,1,,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,26
4105,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,2,2,,1,,2,,1,,1,,1,1,1,,1,,1,,,1,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,25
4106,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,1,,2,,1,,,1,1,1,1,,1,,,1,1,4,,,,,1,1,4,,2,1,1,3,,2,2,,3,4,,5,,4,2,1,4,2,2,3,4,3,1,5,1,3,3,1,9,7,6,2,5,1,,1,,2,,1,,2,1,,1,,,,,,,,,,125
4201,5,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,1,,,1,1,1,,1,3,,3,,2,2,2,1,,2,4,2,4,3,1,2,1,1,2,2,1,5,2,5,1,4,3,3,10,8,4,6,2,4,14,8,5,4,3,7,6,6,5,3,7,6,3,2,5,4,1,,4,,1,2,,1,,,,,,,,,,,209
4202,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,2,1,,,,,,1,,,,2,,,1,2,,2,1,,,2,1,2,1,2,2,4,2,2,3,2,1,2,,2,2,2,1,2,2,4,2,1,2,2,,,4,1,,,1,1,,2,,,,,,,,,,,,,,74
4203,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,2,,2,1,1,2,3,3,1,1,1,,,1,1,1,,1,1,1,,4,4,3,2,3,1,,3,5,3,3,1,2,2,,1,3,4,1,,,2,,,,1,1,,,1,1,,,,,,,,,,,80
4204,5,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,,,1,,1,,,,2,1,,3,,,1,,1,,,2,,2,1,1,,3,,1,2,,1,2,5,2,3,6,5,,3,2,5,3,7,3,4,3,3,8,1,5,2,4,5,3,,6,5,4,7,4,1,,,2,,2,1,,,,,,,,,,,,,,150
4301,11,1,,,,,1,,,,,,,,1,1,1,1,3,2,1,,,,,3,,,2,,1,4,,3,,2,1,1,,1,2,2,3,4,5,4,3,3,10,8,8,,3,4,9,5,10,3,8,9,11,13,14,11,6,4,10,9,14,8,14,16,9,21,14,17,16,12,18,21,14,16,20,17,20,18,18,19,11,20,16,9,8,6,8,5,7,2,7,7,1,2,1,,,1,,,,,,,,,655
4302,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,2,,,,,,,,1,,,,2,2,,,2,2,,1,,,1,,,,1,1,,1,1,5,2,1,1,4,,1,7,4,3,2,,8,3,6,2,3,7,2,4,2,2,2,4,3,2,1,3,1,3,2,1,1,1,,,,1,,,1,,,,,,116
