Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.112,muertes.118,muertes.121,muertes.Total 
4203,3,1,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,1,,,,,,,1,,,,1,1,1,,,,,2,,1,,,,1,1,,,,2,,2,,2,2,4,4,,,2,,2,3,2,4,2,4,5,2,3,1,2,2,2,1,,1,1,1,1,2,3,,,,,,,1,,,,,,,,,,,,81
4204,4,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,3,,1,1,,1,1,1,1,1,1,2,,1,1,,1,1,,1,,3,2,2,2,2,,1,3,1,3,6,2,7,2,3,4,3,5,,2,3,4,4,6,2,4,2,5,3,6,3,4,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,133
4301,11,,1,1,,,,,1,,,,,,,1,,1,,1,,,2,1,,1,2,1,,2,1,2,3,4,2,3,1,,,5,4,5,3,3,3,2,,3,2,3,5,5,3,2,5,5,5,3,6,5,3,6,5,5,8,14,6,9,13,9,5,11,11,16,13,11,16,18,7,19,12,17,10,15,10,11,13,8,18,15,17,3,10,6,9,3,3,3,1,1,,,1,,,,,,,,,,,510
4302,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,1,,2,,,,1,,,,,,,1,1,1,,,1,,1,,,,,,1,2,,1,3,,1,2,1,1,1,4,3,2,2,2,3,6,4,3,5,1,3,7,5,3,1,2,6,5,3,3,1,1,3,2,2,2,1,1,,2,,,,,,,,,,,,,115
4303,2,,,1,,,,,,1,,,,,,1,,,,,,1,1,,1,,,,,1,,1,,1,,,,,,,,,,3,2,1,1,1,1,,1,,3,1,2,3,3,,1,1,1,,2,4,,,2,3,2,5,3,5,4,1,5,6,4,6,6,7,4,7,4,4,6,2,2,4,7,,3,2,2,1,2,2,2,1,1,,,1,,,,,,,,,,,,158
4304,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2,1,,,,,1,1,,2,,,3,3,1,1,2,1,3,3,3,2,,,2,2,1,2,2,2,4,,1,5,3,,1,2,2,1,,,,,,1,,,,,,,,,,,,,67
4305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,1,,,,1,1,3,2,1,,1,2,1,1,,3,1,,2,,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,32
5101,49,7,,1,2,1,3,,1,,,4,,,3,4,1,3,1,3,7,3,8,5,5,1,2,5,,3,5,3,5,6,4,5,6,10,6,6,9,13,10,9,12,10,14,14,11,13,13,20,19,17,19,19,22,23,16,21,35,34,35,26,27,29,45,36,31,48,27,30,55,65,56,52,57,55,51,51,60,49,65,61,58,46,47,35,41,43,30,42,25,18,23,12,8,5,4,2,1,2,,1,1,,,,,,,,,2006
5102,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,1,,,,2,,1,2,1,1,,1,2,1,1,1,1,3,,2,1,3,,2,,1,2,1,3,1,5,2,1,4,2,3,3,2,4,6,4,4,,2,2,3,4,2,1,2,3,6,2,4,2,2,3,4,2,1,1,2,,3,,,,,,,,,,,,,,129
5103,1,2,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,2,,,1,1,,,,,1,2,,,,1,1,1,,2,1,3,,,2,,2,2,2,1,2,2,3,1,2,3,3,1,4,2,6,8,3,2,5,5,5,4,3,2,4,4,4,1,4,3,5,4,1,4,3,1,1,2,3,2,,1,1,,,,1,,,,,,,,,,,146
